region,ranking,deferred,saved,score
in,random,0.12,0.88,0.006396983611332096
in,random,0.14,0.86,0.006253508481128583
in,random,0.16,0.84,0.0061057225553191475
in,random,0.18,0.82,0.00596112311762257
in,random,0.2,0.8,0.005812329926503236
in,random,0.22,0.78,0.005668966109805732
in,random,0.24,0.76,0.005517561686493987
in,random,0.26,0.74,0.005375886844310823
in,random,0.28,0.72,0.0052255515940333
in,random,0.3,0.7,0.005081608562164661
in,random,0.32,0.68,0.0049372580984736346
in,random,0.34,0.66,0.004797076039222939
in,random,0.36,0.64,0.004653810909296945
in,random,0.38,0.62,0.004509965526734502
in,random,0.4,0.6,0.004365679517853837
in,random,0.42,0.58,0.004217372702867712
in,random,0.44,0.56,0.004068646733441255
in,random,0.46,0.54,0.0039258377189639185
in,random,0.48,0.52,0.0037756038860314476
in,random,0.5,0.5,0.003629507937326544
in,random,0.52,0.48,0.00348366408968547
in,random,0.54,0.46,0.0033412069447270997
in,random,0.56,0.44,0.00319724110753931
in,random,0.58,0.42,0.0030548970743755725
in,random,0.6,0.4,0.002910172501896387
in,random,0.62,0.38,0.002761779595420901
in,random,0.64,0.36,0.002615224509759478
in,random,0.66,0.34,0.0024672368524976825
in,random,0.68,0.32,0.0023232092046253424
in,random,0.7,0.3,0.002175010626734501
in,random,0.72,0.28,0.0020383182736817716
in,random,0.74,0.26,0.001886979017530061
in,random,0.76,0.24,0.0017465082970397746
in,random,0.78,0.22,0.0016028080564292298
in,random,0.8,0.2,0.0014574434697039755
in,random,0.82,0.18,0.0013128863124421807
in,random,0.84,0.16,0.001162542630804807
in,random,0.86,0.14,0.0010161670228492116
in,random,0.88,0.12,0.0008683625492599427
in,random,0.9,0.1,0.0007238728515263626
in,random,0.92,0.08,0.0005766574797872328
in,random,0.94,0.06,0.00043322517099907387
in,random,0.96,0.04,0.00028884556632747355
in,random,0.98,0.02,0.00014737971521739087
in,random,1.0,0.0,0.0
in,oracle,0.0,1.0,0.007276535013876048
in,oracle,0.02,0.98,0.006254532044403337
in,oracle,0.04,0.96,0.005645320603607777
in,oracle,0.06,0.94,0.005156396935707683
in,oracle,0.08,0.92,0.00473751956753007
in,oracle,0.1,0.9,0.004373944435707684
in,oracle,0.12,0.88,0.004041877028214619
in,oracle,0.14,0.86,0.003743480275208142
in,oracle,0.16,0.84,0.003469550693802036
in,oracle,0.18,0.82,0.0032222098774283103
in,oracle,0.2,0.8,0.0029970404879741033
in,oracle,0.22,0.78,0.0027911290703052775
in,oracle,0.24,0.76,0.002596112280296025
in,oracle,0.26,0.74,0.0024165422109158233
in,oracle,0.28,0.72,0.0022472494148936205
in,oracle,0.3,0.7,0.0020901116419981512
in,oracle,0.32,0.68,0.0019405864107308046
in,oracle,0.34,0.66,0.0018020772617946355
in,oracle,0.36,0.64,0.0016708540749306225
in,oracle,0.38,0.62,0.0015484822086031518
in,oracle,0.4,0.6,0.0014314038182238705
in,oracle,0.42,0.58,0.0013228006567992615
in,oracle,0.44,0.56,0.0012201479185938967
in,oracle,0.46,0.54,0.0011247338644773328
in,oracle,0.48,0.52,0.0010337400994449525
in,oracle,0.5,0.5,0.0009486326364477298
in,oracle,0.52,0.48,0.0008686595189639189
in,oracle,0.54,0.46,0.0007916334967622553
in,oracle,0.56,0.44,0.0007198179856614208
in,oracle,0.58,0.42,0.0006514842876965745
in,oracle,0.6,0.4,0.0005880714384828843
in,oracle,0.62,0.38,0.0005277050647548577
in,oracle,0.64,0.36,0.0004720569773358027
in,oracle,0.66,0.34,0.0004193155666049989
in,oracle,0.68,0.32,0.00037047071461609874
in,oracle,0.7,0.3,0.0003247796299722505
in,oracle,0.72,0.28,0.00028305889454209625
in,oracle,0.74,0.26,0.0002434395120259046
in,oracle,0.76,0.24,0.00020698742830712512
in,oracle,0.78,0.22,0.00017342595975948594
in,oracle,0.8,0.2,0.00014326677844588598
in,oracle,0.82,0.18,0.00011567941720629264
in,oracle,0.84,0.16,9.155072155411624e-05
in,oracle,0.86,0.14,6.986915587419157e-05
in,oracle,0.88,0.12,5.1253492136912526e-05
in,oracle,0.9,0.1,3.5205777058282424e-05
in,oracle,0.92,0.08,2.2173415818685768e-05
in,oracle,0.94,0.06,1.21384736355253e-05
in,oracle,0.96,0.04,5.3832516188716226e-06
in,oracle,0.98,0.02,1.395048566143897e-06
in,oracle,1.0,0.0,0.0
