region,ranking,deferred,saved,score
in,oracle,0.3,0.7,0.0019715618653726175
in,oracle,0.32,0.68,0.0018717606192203645
in,oracle,0.34,0.66,0.001777562112305968
in,oracle,0.36,0.64,0.0016859260456371962
in,oracle,0.38,0.62,0.0015993197763458098
in,oracle,0.4,0.6,0.0015155253313529253
in,oracle,0.42,0.58,0.0014357693744104607
in,oracle,0.44,0.56,0.0013580074181710178
in,oracle,0.46,0.54,0.0012836931999816472
in,oracle,0.48,0.52,0.0012111078292015944
in,oracle,0.5,0.5,0.0011419845977009868
in,oracle,0.52,0.48,0.0010752782857344771
in,oracle,0.54,0.46,0.0010105329272880376
in,oracle,0.56,0.44,0.0009488905807069335
in,oracle,0.58,0.42,0.0008884190408905392
in,oracle,0.6,0.4,0.0008307078140478416
in,oracle,0.62,0.38,0.0007744614819174876
in,oracle,0.64,0.36,0.0007209123767440195
in,oracle,0.66,0.34,0.0006684001801066856
in,oracle,0.68,0.32,0.0006181738867563696
in,oracle,0.7,0.3,0.0005687032071545767
in,oracle,0.72,0.28,0.000521380551529306
in,oracle,0.74,0.26,0.00047506988932729383
in,oracle,0.76,0.24,0.0004306919077369457
in,oracle,0.78,0.22,0.00038719180869955204
in,oracle,0.8,0.2,0.00034534033856268074
in,oracle,0.82,0.18,0.0003041281944742104
in,oracle,0.84,0.16,0.00026473391243603977
in,oracle,0.86,0.14,0.00022620799638638336
in,oracle,0.88,0.12,0.00018953209654104663
in,oracle,0.9,0.1,0.00015407677297229607
in,oracle,0.92,0.08,0.00012045986030585312
in,oracle,0.94,0.06,8.76424995343131e-05
in,oracle,0.96,0.04,5.654065545846362e-05
in,oracle,0.98,0.02,2.686426219029144e-05
in,oracle,1.0,0.0,0.0
